CustomerKey,AgeGroup,Gender,City,LoyaltyMember
81,60-74,F,Cluj-Napoca,1
82,30-44,F,Apahida,0
83,60-74,F,Cluj-Napoca,0
84,30-44,M,Cluj-Napoca,0
85,18-29,M,Cluj-Napoca,0
86,18-29,F,Apahida,0
87,60-74,M,Cluj-Napoca,0
88,45-59,F,Floresti,1
89,30-44,M,Apahida,0
90,45-59,F,Cluj-Napoca,1
91,18-29,F,Floresti,0
92,60-74,M,Cluj-Napoca,0
93,45-59,F,Cluj-Napoca,0
94,30-44,F,Floresti,0
95,30-44,F,Baciu,1
96,45-59,F,Cluj-Napoca,0
97,30-44,M,Cluj-Napoca,0
98,18-29,M,Cluj-Napoca,0
99,18-29,M,Cluj-Napoca,0
100,75+,F,Floresti,0
101,75+,F,Cluj-Napoca,0
102,60-74,F,Floresti,0
103,30-44,F,Cluj-Napoca,0
104,75+,F,Floresti,0
105,60-74,M,Floresti,0
106,60-74,M,Floresti,0
107,45-59,M,Cluj-Napoca,0
108,30-44,F,Cluj-Napoca,0
109,18-29,F,Cluj-Napoca,1
110,75+,F,Cluj-Napoca,1
111,45-59,F,Cluj-Napoca,0
112,30-44,F,Cluj-Napoca,0
113,30-44,F,Floresti,0
114,45-59,F,Cluj-Napoca,1
115,30-44,M,Apahida,0
116,60-74,F,Cluj-Napoca,0
117,60-74,M,Floresti,0
118,60-74,F,Cluj-Napoca,1
119,45-59,F,Cluj-Napoca,0
120,45-59,F,Cluj-Napoca,0
121,45-59,F,Baciu,0
122,45-59,F,Cluj-Napoca,0
123,18-29,F,Cluj-Napoca,0
124,30-44,M,Cluj-Napoca,0
125,18-29,F,Floresti,0
126,45-59,M,Cluj-Napoca,0
127,30-44,F,Cluj-Napoca,0
128,18-29,F,Cluj-Napoca,0
129,18-29,F,Baciu,0
130,45-59,F,Cluj-Napoca,1
131,30-44,M,Cluj-Napoca,0
132,75+,M,Other,0
133,45-59,M,Cluj-Napoca,1
134,30-44,F,Cluj-Napoca,0
135,45-59,F,Cluj-Napoca,1
136,18-29,M,Cluj-Napoca,0
137,75+,F,Cluj-Napoca,1
138,45-59,F,Cluj-Napoca,0
139,60-74,F,Floresti,1
140,18-29,M,Floresti,0
141,45-59,M,Cluj-Napoca,0
142,45-59,M,Cluj-Napoca,0
143,75+,M,Cluj-Napoca,0
144,45-59,F,Other,0
145,45-59,M,Cluj-Napoca,0
146,30-44,F,Floresti,1
147,30-44,M,Cluj-Napoca,0
148,45-59,F,Floresti,1
149,45-59,M,Cluj-Napoca,0
150,18-29,F,Floresti,0
151,60-74,F,Cluj-Napoca,0
152,75+,F,Baciu,0
153,18-29,F,Cluj-Napoca,0
154,45-59,F,Floresti,0
155,18-29,M,Apahida,0
156,60-74,F,Other,0
157,30-44,M,Cluj-Napoca,0
158,45-59,F,Cluj-Napoca,1
159,60-74,M,Cluj-Napoca,1
160,60-74,F,Cluj-Napoca,0
161,18-29,M,Cluj-Napoca,0
162,75+,M,Other,1
163,30-44,F,Other,1
164,18-29,M,Cluj-Napoca,1
165,45-59,F,Floresti,0
166,30-44,F,Apahida,1
167,60-74,M,Baciu,0
168,60-74,M,Cluj-Napoca,0
169,30-44,F,Cluj-Napoca,1
170,75+,F,Apahida,0
171,30-44,M,Cluj-Napoca,0
172,45-59,M,Cluj-Napoca,0
173,30-44,M,Other,1
174,75+,F,Other,0
175,30-44,M,Baciu,1
176,18-29,F,Apahida,0
177,45-59,M,Cluj-Napoca,0
178,75+,F,Cluj-Napoca,1
179,75+,M,Cluj-Napoca,0
180,60-74,F,Cluj-Napoca,0
181,75+,F,Cluj-Napoca,1
182,75+,M,Floresti,1
183,45-59,F,Cluj-Napoca,0
184,30-44,M,Floresti,1
185,60-74,F,Cluj-Napoca,1
186,60-74,M,Cluj-Napoca,0
187,30-44,F,Cluj-Napoca,1
188,18-29,F,Cluj-Napoca,0
189,60-74,F,Apahida,0
190,30-44,F,Cluj-Napoca,0
191,75+,F,Cluj-Napoca,1
192,30-44,M,Floresti,0
193,18-29,M,Cluj-Napoca,1
194,60-74,M,Cluj-Napoca,0
195,18-29,F,Cluj-Napoca,1
196,30-44,F,Cluj-Napoca,0
197,45-59,F,Floresti,1
198,60-74,M,Cluj-Napoca,1
199,30-44,M,Cluj-Napoca,0
200,30-44,F,Cluj-Napoca,1
201,60-74,M,Cluj-Napoca,1
202,75+,F,Cluj-Napoca,0
203,45-59,F,Apahida,0
204,18-29,F,Cluj-Napoca,1
205,18-29,F,Cluj-Napoca,0
206,30-44,M,Cluj-Napoca,0
207,18-29,M,Cluj-Napoca,0
208,60-74,F,Cluj-Napoca,0
209,18-29,F,Apahida,0
210,45-59,M,Baciu,0
211,60-74,M,Cluj-Napoca,0
212,45-59,M,Cluj-Napoca,0
213,30-44,F,Baciu,1
214,60-74,M,Cluj-Napoca,1
215,60-74,F,Cluj-Napoca,1
216,60-74,M,Cluj-Napoca,0
217,18-29,F,Floresti,0
218,18-29,M,Floresti,0
219,75+,F,Cluj-Napoca,0
220,30-44,F,Other,0
221,30-44,M,Cluj-Napoca,1
222,45-59,M,Cluj-Napoca,0
223,60-74,F,Cluj-Napoca,0
224,75+,M,Cluj-Napoca,1
225,30-44,M,Cluj-Napoca,0
226,75+,F,Cluj-Napoca,1
227,18-29,F,Cluj-Napoca,0
228,45-59,F,Floresti,0
229,45-59,M,Cluj-Napoca,1
230,18-29,F,Cluj-Napoca,1
231,18-29,F,Floresti,1
232,30-44,M,Cluj-Napoca,1
233,75+,M,Floresti,0
234,45-59,M,Apahida,1
235,75+,M,Floresti,1
236,60-74,M,Cluj-Napoca,0
237,45-59,M,Cluj-Napoca,0
238,60-74,M,Cluj-Napoca,0
239,18-29,F,Cluj-Napoca,0
240,18-29,F,Cluj-Napoca,0
241,60-74,F,Cluj-Napoca,0
242,60-74,M,Cluj-Napoca,1
243,30-44,F,Cluj-Napoca,0
244,45-59,F,Cluj-Napoca,0
245,45-59,M,Apahida,0
246,60-74,F,Baciu,0
247,45-59,F,Cluj-Napoca,0
248,30-44,M,Baciu,1
249,30-44,M,Cluj-Napoca,0
250,45-59,F,Baciu,0
251,45-59,F,Other,0
252,60-74,F,Cluj-Napoca,0
253,45-59,M,Floresti,1
254,30-44,M,Other,0
255,30-44,F,Baciu,1
256,60-74,M,Other,1
257,60-74,F,Cluj-Napoca,1
258,18-29,F,Cluj-Napoca,0
259,18-29,M,Apahida,1
260,45-59,F,Cluj-Napoca,1
261,18-29,F,Cluj-Napoca,1
262,60-74,F,Cluj-Napoca,0
263,30-44,M,Cluj-Napoca,0
264,18-29,M,Cluj-Napoca,1
265,75+,M,Floresti,1
266,30-44,F,Cluj-Napoca,0
267,30-44,F,Floresti,1
268,18-29,M,Apahida,0
269,18-29,F,Cluj-Napoca,0
270,18-29,M,Cluj-Napoca,0
271,18-29,M,Cluj-Napoca,1
272,30-44,F,Other,0
273,18-29,M,Floresti,1
274,45-59,F,Cluj-Napoca,0
275,60-74,F,Cluj-Napoca,0
276,30-44,F,Cluj-Napoca,0
277,30-44,F,Cluj-Napoca,0
278,45-59,M,Other,1
279,60-74,M,Floresti,0
280,60-74,M,Cluj-Napoca,0
281,18-29,M,Apahida,1
282,30-44,F,Cluj-Napoca,0
283,30-44,F,Apahida,0
284,30-44,M,Cluj-Napoca,0
285,45-59,M,Cluj-Napoca,0
286,30-44,F,Baciu,0
287,18-29,F,Cluj-Napoca,0
288,30-44,F,Floresti,1
289,45-59,F,Other,1
290,18-29,M,Cluj-Napoca,1
291,60-74,F,Cluj-Napoca,0
292,18-29,M,Floresti,0
293,75+,M,Cluj-Napoca,0
294,18-29,M,Cluj-Napoca,1
295,60-74,F,Cluj-Napoca,1
296,75+,F,Floresti,0
297,75+,M,Cluj-Napoca,1
298,60-74,M,Cluj-Napoca,1
299,60-74,F,Apahida,0
300,45-59,M,Cluj-Napoca,1
301,60-74,F,Apahida,0
302,18-29,M,Cluj-Napoca,0
303,45-59,F,Other,0
304,45-59,F,Floresti,1
305,60-74,F,Cluj-Napoca,0
306,45-59,F,Baciu,0
307,30-44,F,Cluj-Napoca,0
308,45-59,F,Cluj-Napoca,0
309,30-44,F,Cluj-Napoca,0
310,18-29,M,Floresti,0
311,45-59,F,Cluj-Napoca,0
312,30-44,M,Cluj-Napoca,0
313,30-44,M,Cluj-Napoca,1
314,30-44,F,Cluj-Napoca,1
315,30-44,F,Cluj-Napoca,0
316,30-44,M,Cluj-Napoca,1
317,30-44,M,Cluj-Napoca,0
318,60-74,F,Cluj-Napoca,0
319,30-44,M,Cluj-Napoca,0
320,75+,F,Cluj-Napoca,1
321,75+,F,Floresti,0
322,45-59,M,Cluj-Napoca,0
323,30-44,F,Cluj-Napoca,1
324,45-59,M,Cluj-Napoca,1
325,60-74,F,Cluj-Napoca,1
326,45-59,M,Cluj-Napoca,1
327,60-74,F,Apahida,1
328,45-59,F,Cluj-Napoca,0
329,45-59,F,Cluj-Napoca,0
330,30-44,F,Cluj-Napoca,1
331,60-74,M,Cluj-Napoca,1
332,30-44,F,Cluj-Napoca,1
333,60-74,F,Cluj-Napoca,0
334,60-74,F,Cluj-Napoca,1
335,18-29,F,Cluj-Napoca,0
336,45-59,M,Apahida,1
337,18-29,F,Other,1
338,60-74,M,Cluj-Napoca,0
339,18-29,F,Cluj-Napoca,1
340,75+,M,Floresti,1
341,18-29,F,Cluj-Napoca,1
342,75+,F,Apahida,0
343,60-74,M,Floresti,0
344,45-59,M,Baciu,0
345,60-74,M,Other,0
346,60-74,F,Cluj-Napoca,1
347,75+,F,Cluj-Napoca,0
348,30-44,M,Cluj-Napoca,1
349,45-59,F,Cluj-Napoca,0
350,18-29,M,Cluj-Napoca,0
351,45-59,F,Other,0
352,30-44,F,Cluj-Napoca,0
353,45-59,M,Cluj-Napoca,1
354,45-59,M,Apahida,0
355,45-59,F,Cluj-Napoca,1
356,45-59,F,Cluj-Napoca,0
357,60-74,M,Other,0
358,60-74,F,Cluj-Napoca,1
359,45-59,F,Cluj-Napoca,0
360,45-59,F,Cluj-Napoca,0
361,75+,M,Other,0
362,18-29,M,Cluj-Napoca,1
363,18-29,F,Cluj-Napoca,0
364,18-29,F,Cluj-Napoca,0
365,45-59,F,Cluj-Napoca,0
366,30-44,F,Baciu,1
367,60-74,F,Cluj-Napoca,1
368,60-74,F,Other,0
369,30-44,M,Cluj-Napoca,1
370,75+,F,Cluj-Napoca,0
371,60-74,F,Apahida,0
372,30-44,F,Cluj-Napoca,1
373,30-44,M,Cluj-Napoca,1
374,30-44,M,Apahida,0
375,18-29,F,Cluj-Napoca,1
376,18-29,M,Cluj-Napoca,0
377,75+,F,Other,0
378,45-59,F,Cluj-Napoca,0
379,30-44,M,Cluj-Napoca,1
380,60-74,F,Cluj-Napoca,0
381,45-59,F,Cluj-Napoca,0
382,75+,M,Cluj-Napoca,1
383,60-74,F,Floresti,0
384,45-59,M,Cluj-Napoca,0
385,30-44,F,Floresti,0
386,75+,F,Cluj-Napoca,0
387,60-74,F,Cluj-Napoca,1
388,75+,F,Cluj-Napoca,1
389,18-29,F,Floresti,1
390,60-74,F,Cluj-Napoca,1
391,45-59,M,Cluj-Napoca,0
392,18-29,F,Apahida,1
393,45-59,F,Cluj-Napoca,0
394,60-74,F,Cluj-Napoca,1
395,18-29,F,Baciu,1
396,45-59,F,Cluj-Napoca,0
397,60-74,M,Cluj-Napoca,1
398,30-44,F,Cluj-Napoca,0
399,45-59,M,Cluj-Napoca,0
400,45-59,M,Cluj-Napoca,0
401,30-44,F,Floresti,1
402,75+,F,Cluj-Napoca,0
403,60-74,F,Apahida,1
404,18-29,M,Baciu,0
405,75+,F,Cluj-Napoca,0
406,60-74,M,Floresti,1
407,30-44,M,Floresti,1
408,60-74,M,Other,1
409,18-29,F,Cluj-Napoca,1
410,75+,M,Cluj-Napoca,0
411,60-74,F,Cluj-Napoca,0
412,45-59,F,Cluj-Napoca,0
413,18-29,F,Cluj-Napoca,1
414,75+,M,Cluj-Napoca,0
415,18-29,M,Cluj-Napoca,1
416,30-44,M,Baciu,0
417,18-29,F,Cluj-Napoca,1
418,60-74,M,Cluj-Napoca,1
419,30-44,F,Cluj-Napoca,0
420,75+,F,Cluj-Napoca,1
421,45-59,M,Cluj-Napoca,0
422,18-29,F,Cluj-Napoca,0
423,18-29,F,Cluj-Napoca,1
424,18-29,M,Cluj-Napoca,0
425,45-59,F,Cluj-Napoca,0
426,60-74,F,Cluj-Napoca,0
427,30-44,F,Cluj-Napoca,0
428,60-74,F,Cluj-Napoca,0
429,18-29,M,Cluj-Napoca,0
430,60-74,M,Cluj-Napoca,0
431,75+,F,Cluj-Napoca,0
432,60-74,F,Floresti,1
433,60-74,F,Other,1
434,60-74,M,Baciu,0
435,18-29,M,Cluj-Napoca,1
436,30-44,M,Cluj-Napoca,1
437,18-29,F,Cluj-Napoca,1
438,45-59,F,Floresti,0
439,60-74,F,Floresti,1
440,45-59,F,Apahida,0
441,60-74,F,Baciu,0
442,18-29,M,Cluj-Napoca,0
443,60-74,F,Floresti,1
444,30-44,F,Apahida,0
445,30-44,F,Cluj-Napoca,0
446,60-74,F,Baciu,0
447,75+,F,Cluj-Napoca,0
448,45-59,F,Other,1
449,18-29,M,Floresti,0
450,45-59,F,Cluj-Napoca,1
451,18-29,F,Floresti,0
452,75+,F,Cluj-Napoca,0
453,60-74,M,Floresti,1
454,30-44,F,Apahida,0
455,18-29,M,Cluj-Napoca,1
456,30-44,M,Apahida,0
457,75+,M,Cluj-Napoca,0
458,45-59,M,Cluj-Napoca,1
459,60-74,F,Cluj-Napoca,1
460,45-59,M,Cluj-Napoca,0
461,45-59,F,Cluj-Napoca,1
462,18-29,M,Cluj-Napoca,0
463,75+,M,Cluj-Napoca,0
464,30-44,F,Cluj-Napoca,0
465,45-59,F,Baciu,1
466,60-74,M,Cluj-Napoca,0
467,45-59,F,Baciu,0
468,75+,F,Cluj-Napoca,1
469,18-29,M,Cluj-Napoca,1
470,45-59,M,Cluj-Napoca,1
471,30-44,F,Cluj-Napoca,0
472,45-59,F,Cluj-Napoca,0
473,18-29,F,Cluj-Napoca,0
474,18-29,M,Cluj-Napoca,0
475,30-44,F,Cluj-Napoca,1
476,30-44,M,Cluj-Napoca,1
477,45-59,F,Cluj-Napoca,1
478,45-59,F,Apahida,0
479,45-59,F,Cluj-Napoca,0
480,30-44,F,Other,1
481,30-44,M,Apahida,0
482,30-44,F,Other,1
483,45-59,F,Apahida,1
484,30-44,M,Cluj-Napoca,1
485,18-29,M,Cluj-Napoca,0
486,30-44,M,Cluj-Napoca,0
487,45-59,F,Apahida,0
488,30-44,M,Cluj-Napoca,1
489,45-59,M,Cluj-Napoca,1
490,45-59,F,Baciu,0
491,60-74,F,Cluj-Napoca,1
492,45-59,M,Cluj-Napoca,0
493,45-59,F,Floresti,0
494,30-44,F,Cluj-Napoca,0
495,60-74,M,Cluj-Napoca,0
496,45-59,M,Apahida,0
497,45-59,F,Cluj-Napoca,0
498,45-59,F,Cluj-Napoca,0
499,30-44,F,Cluj-Napoca,0
500,45-59,F,Floresti,1
501,60-74,M,Cluj-Napoca,0
502,75+,M,Baciu,1
503,75+,F,Baciu,0
504,45-59,F,Cluj-Napoca,0
505,45-59,M,Cluj-Napoca,0
506,60-74,F,Cluj-Napoca,0
507,30-44,F,Floresti,0
508,60-74,F,Cluj-Napoca,1
509,45-59,M,Cluj-Napoca,1
510,18-29,F,Cluj-Napoca,1
511,18-29,M,Other,0
512,60-74,F,Cluj-Napoca,0
513,18-29,M,Baciu,1
514,30-44,F,Cluj-Napoca,0
515,30-44,F,Baciu,1
516,30-44,F,Cluj-Napoca,0
517,30-44,F,Cluj-Napoca,0
518,60-74,F,Baciu,1
519,18-29,F,Other,0
520,60-74,F,Cluj-Napoca,0
521,60-74,F,Cluj-Napoca,1
522,30-44,M,Cluj-Napoca,0
523,18-29,F,Cluj-Napoca,0
524,45-59,M,Cluj-Napoca,0
525,18-29,M,Baciu,0
526,30-44,F,Cluj-Napoca,0
527,75+,M,Floresti,1
528,75+,M,Cluj-Napoca,0
529,60-74,M,Cluj-Napoca,0
530,30-44,F,Floresti,1
531,60-74,F,Cluj-Napoca,1
532,60-74,F,Floresti,1
533,30-44,F,Cluj-Napoca,0
534,45-59,M,Other,0
535,18-29,M,Floresti,0
536,30-44,F,Baciu,1
537,45-59,M,Cluj-Napoca,1
538,30-44,F,Cluj-Napoca,0
539,30-44,M,Cluj-Napoca,0
540,60-74,F,Cluj-Napoca,0
541,75+,M,Cluj-Napoca,0
542,45-59,M,Cluj-Napoca,0
543,60-74,F,Cluj-Napoca,0
544,75+,F,Cluj-Napoca,0
545,18-29,M,Cluj-Napoca,0
546,45-59,F,Cluj-Napoca,1
547,30-44,F,Cluj-Napoca,1
548,18-29,M,Floresti,0
549,60-74,F,Cluj-Napoca,1
550,45-59,F,Cluj-Napoca,1
551,45-59,F,Cluj-Napoca,0
552,18-29,F,Floresti,1
553,30-44,M,Cluj-Napoca,0
554,75+,F,Cluj-Napoca,0
555,18-29,F,Other,0
556,30-44,F,Cluj-Napoca,0
557,30-44,M,Baciu,1
558,45-59,F,Apahida,0
559,45-59,M,Cluj-Napoca,1
560,45-59,M,Cluj-Napoca,0
561,18-29,M,Floresti,1
562,30-44,M,Other,1
563,60-74,M,Cluj-Napoca,0
564,45-59,M,Cluj-Napoca,0
565,45-59,F,Cluj-Napoca,0
566,60-74,M,Cluj-Napoca,0
567,60-74,F,Floresti,1
568,18-29,F,Cluj-Napoca,0
569,30-44,M,Floresti,1
570,45-59,M,Apahida,1
571,30-44,M,Floresti,1
572,60-74,F,Cluj-Napoca,1
573,45-59,F,Floresti,1
574,60-74,F,Apahida,0
575,60-74,F,Apahida,1
576,45-59,F,Cluj-Napoca,1
577,75+,F,Cluj-Napoca,0
578,45-59,F,Cluj-Napoca,1
579,60-74,M,Apahida,0
580,30-44,F,Floresti,0
581,45-59,M,Cluj-Napoca,0
582,45-59,M,Cluj-Napoca,0
583,18-29,F,Cluj-Napoca,1
584,30-44,F,Floresti,1
585,75+,F,Cluj-Napoca,0
586,45-59,M,Cluj-Napoca,0
587,30-44,F,Baciu,0
588,30-44,F,Floresti,1
589,30-44,M,Cluj-Napoca,0
590,18-29,M,Cluj-Napoca,1
591,75+,F,Other,1
592,45-59,F,Floresti,1
593,30-44,F,Cluj-Napoca,0
594,45-59,F,Cluj-Napoca,1
595,18-29,F,Cluj-Napoca,0
596,30-44,F,Cluj-Napoca,0
597,60-74,M,Floresti,0
598,45-59,F,Cluj-Napoca,0
599,75+,M,Cluj-Napoca,0
600,45-59,F,Floresti,1
601,45-59,M,Other,1
602,60-74,M,Floresti,0
603,75+,M,Cluj-Napoca,1
604,60-74,M,Cluj-Napoca,1
605,75+,F,Cluj-Napoca,1
606,60-74,F,Cluj-Napoca,1
607,60-74,F,Cluj-Napoca,1
608,18-29,F,Cluj-Napoca,1
609,60-74,M,Cluj-Napoca,0
610,45-59,F,Baciu,1
611,45-59,M,Other,0
612,45-59,F,Cluj-Napoca,0
613,75+,F,Cluj-Napoca,1
614,75+,F,Cluj-Napoca,0
615,30-44,M,Cluj-Napoca,0
616,60-74,M,Cluj-Napoca,0
617,60-74,F,Cluj-Napoca,1
618,30-44,F,Floresti,1
619,18-29,M,Cluj-Napoca,1
620,18-29,F,Baciu,0
621,60-74,M,Cluj-Napoca,0
622,45-59,F,Cluj-Napoca,0
623,75+,F,Cluj-Napoca,0
624,45-59,F,Cluj-Napoca,0
625,75+,F,Cluj-Napoca,0
626,30-44,F,Other,1
627,60-74,F,Cluj-Napoca,0
628,18-29,M,Cluj-Napoca,1
629,45-59,F,Cluj-Napoca,1
630,60-74,F,Cluj-Napoca,0
631,75+,F,Cluj-Napoca,0
632,60-74,F,Cluj-Napoca,1
633,18-29,M,Apahida,0
634,30-44,F,Cluj-Napoca,1
635,18-29,M,Cluj-Napoca,1
636,18-29,F,Floresti,1
637,60-74,M,Apahida,0
638,60-74,F,Cluj-Napoca,0
639,60-74,M,Cluj-Napoca,1
640,60-74,F,Cluj-Napoca,1
641,60-74,F,Cluj-Napoca,1
642,60-74,M,Cluj-Napoca,1
643,18-29,M,Floresti,0
644,30-44,M,Cluj-Napoca,0
645,45-59,F,Floresti,0
646,60-74,M,Cluj-Napoca,0
647,18-29,M,Apahida,0
648,45-59,M,Apahida,1
649,60-74,F,Cluj-Napoca,1
650,18-29,M,Cluj-Napoca,0
651,30-44,M,Cluj-Napoca,0
652,75+,M,Apahida,0
653,60-74,F,Cluj-Napoca,0
654,30-44,F,Cluj-Napoca,0
655,60-74,M,Cluj-Napoca,0
656,30-44,F,Apahida,0
657,60-74,M,Cluj-Napoca,1
658,30-44,F,Cluj-Napoca,1
659,45-59,F,Other,1
660,30-44,M,Cluj-Napoca,1
661,30-44,F,Apahida,1
662,75+,F,Cluj-Napoca,0
663,30-44,M,Cluj-Napoca,0
664,18-29,M,Baciu,0
665,30-44,M,Floresti,1
666,60-74,F,Floresti,0
667,60-74,F,Cluj-Napoca,1
668,75+,M,Cluj-Napoca,1
669,30-44,F,Cluj-Napoca,1
670,30-44,F,Cluj-Napoca,1
671,18-29,F,Cluj-Napoca,1
672,45-59,F,Cluj-Napoca,0
673,75+,M,Cluj-Napoca,0
674,60-74,M,Cluj-Napoca,0
675,45-59,M,Cluj-Napoca,1
676,30-44,F,Cluj-Napoca,0
677,75+,F,Baciu,0
678,45-59,F,Cluj-Napoca,1
679,18-29,F,Cluj-Napoca,0
680,30-44,F,Floresti,0
681,18-29,F,Apahida,0
682,30-44,F,Cluj-Napoca,1
683,18-29,F,Cluj-Napoca,0
684,45-59,M,Cluj-Napoca,1
685,45-59,F,Cluj-Napoca,1
686,30-44,F,Floresti,1
687,45-59,M,Other,0
688,75+,M,Cluj-Napoca,1
689,60-74,M,Floresti,1
690,45-59,F,Cluj-Napoca,1
691,30-44,M,Cluj-Napoca,0
692,75+,F,Floresti,0
693,30-44,F,Cluj-Napoca,0
694,30-44,F,Cluj-Napoca,1
695,75+,F,Cluj-Napoca,1
696,45-59,F,Other,0
697,60-74,F,Cluj-Napoca,1
698,45-59,M,Cluj-Napoca,0
699,45-59,F,Cluj-Napoca,0
700,30-44,F,Cluj-Napoca,0
701,30-44,F,Cluj-Napoca,0
702,30-44,F,Apahida,0
703,18-29,F,Floresti,1
704,60-74,F,Baciu,0
705,30-44,F,Apahida,1
706,45-59,M,Cluj-Napoca,0
707,60-74,M,Cluj-Napoca,1
708,60-74,F,Cluj-Napoca,1
709,45-59,M,Cluj-Napoca,0
710,45-59,M,Baciu,1
711,75+,M,Floresti,1
712,60-74,M,Other,0
713,60-74,M,Cluj-Napoca,1
714,75+,M,Cluj-Napoca,0
715,60-74,M,Cluj-Napoca,1
716,30-44,F,Cluj-Napoca,1
717,45-59,F,Cluj-Napoca,1
718,18-29,F,Cluj-Napoca,0
719,45-59,F,Cluj-Napoca,0
720,75+,F,Baciu,1
721,45-59,F,Cluj-Napoca,0
722,45-59,F,Cluj-Napoca,0
723,18-29,F,Floresti,0
724,75+,M,Cluj-Napoca,0
725,18-29,F,Baciu,0
726,18-29,F,Floresti,0
727,30-44,M,Cluj-Napoca,0
728,18-29,M,Floresti,0
729,45-59,M,Floresti,1
730,45-59,M,Floresti,1
731,30-44,M,Apahida,0
732,18-29,F,Floresti,1
733,18-29,F,Cluj-Napoca,1
734,30-44,F,Cluj-Napoca,1
735,18-29,M,Floresti,1
736,60-74,M,Other,0
737,30-44,F,Cluj-Napoca,0
738,30-44,F,Floresti,0
739,30-44,F,Cluj-Napoca,1
740,30-44,F,Floresti,0
741,18-29,F,Other,1
742,18-29,F,Cluj-Napoca,0
743,60-74,M,Cluj-Napoca,0
744,18-29,F,Cluj-Napoca,0
745,45-59,M,Cluj-Napoca,0
746,45-59,M,Cluj-Napoca,0
747,30-44,F,Cluj-Napoca,0
748,45-59,F,Cluj-Napoca,0
749,60-74,M,Cluj-Napoca,0
750,60-74,F,Cluj-Napoca,1
751,30-44,M,Floresti,0
752,30-44,F,Floresti,1
753,30-44,M,Floresti,1
754,45-59,M,Apahida,0
755,60-74,F,Floresti,0
756,30-44,F,Cluj-Napoca,1
757,30-44,M,Cluj-Napoca,1
758,75+,F,Cluj-Napoca,1
759,18-29,F,Cluj-Napoca,0
760,45-59,F,Cluj-Napoca,1
761,60-74,F,Baciu,0
762,18-29,M,Floresti,0
763,18-29,M,Cluj-Napoca,0
764,18-29,F,Cluj-Napoca,0
765,75+,M,Cluj-Napoca,1
766,18-29,F,Floresti,1
767,30-44,F,Apahida,0
768,18-29,M,Cluj-Napoca,1
769,18-29,M,Cluj-Napoca,1
770,45-59,F,Cluj-Napoca,1
771,30-44,F,Cluj-Napoca,1
772,45-59,F,Apahida,0
773,45-59,M,Floresti,0
774,60-74,F,Cluj-Napoca,0
775,18-29,F,Cluj-Napoca,0
776,60-74,M,Cluj-Napoca,0
