SaleID,Date,Hour,ProductKey,CustomerKey,StaffKey,Quantity,UnitPrice,Discount,LineTotal,PrescriptionRequired,RefusedNoPrescription
21,2024-01-01,16,14,597,4,1,24.8,0.0,24.8,1,0
22,2024-01-01,15,34,262,1,1,11.2,0.0,11.2,0,0
22,2024-01-01,15,28,262,1,2,42.5,0.0,85.0,0,0
23,2024-01-01,17,42,591,3,1,20.4,0.0,20.4,0,0
23,2024-01-01,17,26,591,3,1,56.0,5.6,50.4,0,0
23,2024-01-01,17,18,591,3,2,23.4,0.0,46.8,1,0
24,2024-01-01,12,6,683,4,3,33.5,0.0,100.5,1,1
25,2024-01-01,15,32,588,3,1,23.8,0.0,23.8,0,0
26,2024-01-01,10,11,617,4,1,19.5,0.98,18.52,0,0
27,2024-01-01,10,16,401,5,1,68.0,0.0,68.0,0,0
27,2024-01-01,10,44,401,5,1,18.9,0.94,17.96,0,0
28,2024-01-01,16,16,39,3,1,68.0,0.0,68.0,0,0
29,2024-01-01,14,11,640,2,2,19.5,1.95,37.05,0,0
30,2024-01-01,17,20,293,1,3,19.8,0.0,59.4,1,0
30,2024-01-01,17,2,293,1,1,11.9,0.0,11.9,0,0
31,2024-01-01,12,43,435,4,1,8.2,0.0,8.2,0,0
32,2024-01-01,17,19,794,3,1,21.2,0.0,21.2,1,0
33,2024-01-01,9,7,720,1,3,14.2,2.13,40.47,0,0
33,2024-01-01,9,6,720,1,1,33.5,0.0,33.5,1,0
33,2024-01-01,9,37,720,1,1,30.6,0.0,30.6,1,0
33,2024-01-01,9,33,720,1,1,15.4,0.0,15.4,0,0
34,2024-01-01,14,4,169,3,1,27.0,2.7,24.3,1,0
35,2024-01-01,17,6,58,4,1,33.5,3.35,30.15,1,0
35,2024-01-01,17,23,58,4,1,34.0,3.4,30.6,0,0
35,2024-01-01,17,5,58,4,1,39.9,0.0,39.9,1,0
36,2024-01-01,19,15,30,1,2,96.0,0.0,192.0,1,0
37,2024-01-01,18,13,139,2,1,16.3,0.82,15.48,0,0
37,2024-01-01,18,28,139,2,1,42.5,0.0,42.5,0,0
38,2024-01-01,11,22,25,1,1,49.0,0.0,49.0,0,0
39,2024-01-01,15,17,752,2,2,29.6,0.0,59.2,1,0
40,2024-01-01,14,45,412,2,1,34.5,0.0,34.5,0,0
41,2024-01-01,10,11,140,3,1,19.5,0.0,19.5,0,0
42,2024-01-01,16,10,255,5,3,42.0,0.0,126.0,1,0
43,2024-01-01,17,34,452,2,1,11.2,0.0,11.2,0,0
43,2024-01-01,17,13,452,2,1,16.3,0.0,16.3,0,0
43,2024-01-01,17,26,452,2,3,56.0,0.0,168.0,0,0
44,2024-01-01,14,12,538,3,1,10.9,0.0,10.9,0,0
44,2024-01-01,14,44,538,3,1,18.9,0.0,18.9,0,0
45,2024-01-01,13,9,256,1,1,45.0,0.0,45.0,1,0
46,2024-01-01,11,15,601,1,2,96.0,19.2,172.8,1,0
46,2024-01-01,11,5,601,1,1,39.9,3.99,35.91,1,0
46,2024-01-01,11,9,601,1,1,45.0,0.0,45.0,1,0
47,2024-01-01,11,39,130,5,1,16.8,0.0,16.8,1,0
47,2024-01-01,11,34,130,5,1,11.2,0.0,11.2,0,0
48,2024-01-01,19,26,503,2,2,56.0,0.0,112.0,0,0
48,2024-01-01,19,18,503,2,1,23.4,0.0,23.4,1,1
49,2024-01-01,14,25,572,5,1,29.9,0.0,29.9,0,0
50,2024-01-01,9,24,769,5,1,22.5,0.0,22.5,0,0
50,2024-01-01,9,3,769,5,1,8.4,0.84,7.56,0,0
51,2024-01-01,16,11,256,3,2,19.5,0.0,39.0,0,0
51,2024-01-01,16,19,256,3,1,21.2,0.0,21.2,1,0
52,2024-01-01,16,33,555,1,1,15.4,0.0,15.4,0,0
52,2024-01-01,16,35,555,1,1,47.0,0.0,47.0,0,0
53,2024-01-01,12,5,170,2,1,39.9,0.0,39.9,1,0
54,2024-01-01,16,36,48,3,2,199.0,0.0,398.0,0,0
55,2024-01-01,12,4,564,1,1,27.0,0.0,27.0,1,0
55,2024-01-01,12,19,564,1,1,21.2,0.0,21.2,1,0
56,2024-01-01,12,36,256,1,1,199.0,9.95,189.05,0,0
56,2024-01-01,12,6,256,1,1,33.5,3.35,30.15,1,0
56,2024-01-01,12,34,256,1,1,11.2,0.0,11.2,0,0
57,2024-01-01,16,15,720,3,2,96.0,19.2,172.8,1,0
57,2024-01-01,16,24,720,3,1,22.5,0.0,22.5,0,0
57,2024-01-01,16,23,720,3,1,34.0,3.4,30.6,0,0
58,2024-01-01,15,10,366,1,1,42.0,0.0,42.0,1,0
59,2024-01-01,9,12,469,4,2,10.9,0.0,21.8,0,0
59,2024-01-01,9,6,469,4,1,33.5,0.0,33.5,1,0
60,2024-01-01,9,42,659,3,2,20.4,4.08,36.72,0,0
61,2024-01-01,17,5,482,5,2,39.9,0.0,79.8,1,0
61,2024-01-01,17,10,482,5,1,42.0,0.0,42.0,1,0
62,2024-01-01,9,28,766,4,1,42.5,4.25,38.25,0,0
62,2024-01-01,9,13,766,4,2,16.3,0.0,32.6,0,0
62,2024-01-01,9,42,766,4,2,20.4,2.04,38.76,0,0
63,2024-01-01,15,32,600,5,1,23.8,0.0,23.8,0,0
64,2024-01-01,18,43,605,1,3,8.2,0.0,24.6,0,0
65,2024-01-01,8,4,331,4,1,27.0,0.0,27.0,1,0
65,2024-01-01,8,26,331,4,1,56.0,5.6,50.4,0,0
66,2024-01-01,18,18,646,5,1,23.4,0.0,23.4,1,0
66,2024-01-01,18,15,646,5,1,96.0,0.0,96.0,1,0
67,2024-01-01,18,2,222,3,1,11.9,0.0,11.9,0,0
68,2024-01-01,14,45,636,1,1,34.5,0.0,34.5,0,0
68,2024-01-01,14,20,636,1,2,19.8,0.0,39.6,1,0
68,2024-01-01,14,40,636,1,2,35.2,0.0,70.4,1,0
68,2024-01-01,14,11,636,1,1,19.5,0.0,19.5,0,0
69,2024-01-01,15,17,453,5,1,29.6,0.0,29.6,1,0
69,2024-01-01,15,18,453,5,1,23.4,0.0,23.4,1,0
70,2024-01-01,17,4,65,4,1,27.0,0.0,27.0,1,0
70,2024-01-01,17,29,65,4,1,58.0,2.9,55.1,0,0
71,2024-01-01,12,9,617,4,1,45.0,0.0,45.0,1,0
71,2024-01-01,12,15,617,4,1,96.0,0.0,96.0,1,0
72,2024-01-01,11,5,295,3,1,39.9,0.0,39.9,1,0
72,2024-01-01,11,40,295,3,1,35.2,1.76,33.44,1,0
73,2024-01-01,14,10,406,5,2,42.0,8.4,75.6,1,0
73,2024-01-01,14,5,406,5,2,39.9,0.0,79.8,1,0
73,2024-01-01,14,36,406,5,1,199.0,9.95,189.05,0,0
73,2024-01-01,14,45,406,5,1,34.5,1.72,32.78,0,0
74,2024-01-01,17,32,603,2,1,23.8,2.38,21.42,0,0
74,2024-01-01,17,6,603,2,1,33.5,1.68,31.82,1,0
74,2024-01-01,17,10,603,2,1,42.0,2.1,39.9,1,0
75,2024-01-01,11,43,278,1,1,8.2,0.82,7.38,0,0
75,2024-01-01,11,22,278,1,1,49.0,0.0,49.0,0,0
75,2024-01-01,11,3,278,1,1,8.4,0.0,8.4,0,0
76,2024-01-01,17,38,31,4,1,27.4,2.74,24.66,1,0
77,2024-01-01,8,40,137,4,1,35.2,3.52,31.68,1,0
77,2024-01-01,8,27,137,4,1,26.7,0.0,26.7,0,0
78,2024-01-01,11,35,235,3,1,47.0,2.35,44.65,0,0
78,2024-01-01,11,40,235,3,1,35.2,1.76,33.44,1,0
78,2024-01-01,11,12,235,3,2,10.9,0.0,21.8,0,0
79,2024-01-01,18,13,47,5,1,16.3,1.63,14.67,0,0
80,2024-01-01,14,38,219,2,1,27.4,0.0,27.4,1,0
80,2024-01-01,14,30,219,2,2,39.0,0.0,78.0,0,0
81,2024-01-01,8,15,235,1,1,96.0,0.0,96.0,1,0
81,2024-01-01,8,28,235,1,1,42.5,0.0,42.5,0,0
82,2024-01-01,16,13,478,1,1,16.3,0.0,16.3,0,0
82,2024-01-01,16,1,478,1,1,9.5,0.0,9.5,0,0
83,2024-01-01,11,12,616,1,1,10.9,0.0,10.9,0,0
83,2024-01-01,11,26,616,1,1,56.0,0.0,56.0,0,0
83,2024-01-01,11,36,616,1,1,199.0,0.0,199.0,0,0
84,2024-01-01,19,14,819,1,1,24.8,0.0,24.8,1,0
84,2024-01-01,19,7,819,1,2,14.2,2.84,25.56,0,0
85,2024-01-01,12,21,44,2,2,12.6,0.0,25.2,0,0
85,2024-01-01,12,5,44,2,1,39.9,0.0,39.9,1,0
85,2024-01-01,12,29,44,2,2,58.0,0.0,116.0,0,0
85,2024-01-01,12,44,44,2,1,18.9,1.89,17.01,0,0
86,2024-01-01,14,28,153,1,2,42.5,0.0,85.0,0,0
86,2024-01-01,14,39,153,1,2,16.8,0.0,33.6,1,0
87,2024-01-01,16,3,10,3,1,8.4,0.0,8.4,0,0
88,2024-01-01,17,6,806,5,2,33.5,6.7,60.3,1,0
88,2024-01-01,17,40,806,5,1,35.2,0.0,35.2,1,0
88,2024-01-01,17,38,806,5,1,27.4,1.37,26.03,1,0
89,2024-01-01,18,18,783,2,1,23.4,2.34,21.06,1,0
90,2024-01-01,14,12,334,2,1,10.9,0.0,10.9,0,0
91,2024-01-01,14,2,733,1,1,11.9,0.0,11.9,0,0
92,2024-01-01,17,7,765,3,1,14.2,1.42,12.78,0,0
93,2024-01-01,18,6,432,1,2,33.5,3.35,63.65,1,0
94,2024-01-01,17,4,457,3,2,27.0,0.0,54.0,1,0
95,2024-01-01,8,36,509,1,1,199.0,9.95,189.05,0,0
96,2024-01-01,11,26,639,1,1,56.0,0.0,56.0,0,0
97,2024-01-01,12,6,65,3,1,33.5,0.0,33.5,1,0
97,2024-01-01,12,24,65,3,1,22.5,0.0,22.5,0,0
98,2024-01-01,19,4,130,2,1,27.0,0.0,27.0,1,0
98,2024-01-01,19,16,130,2,1,68.0,0.0,68.0,0,0
99,2024-01-01,10,15,741,1,1,96.0,9.6,86.4,1,0
100,2024-01-01,11,12,7,3,1,10.9,0.0,10.9,0,0
101,2024-01-01,11,10,290,1,1,42.0,0.0,42.0,1,0
101,2024-01-01,11,9,290,1,1,45.0,0.0,45.0,1,0
101,2024-01-01,11,19,290,1,2,21.2,0.0,42.4,1,0
101,2024-01-01,11,6,290,1,1,33.5,0.0,33.5,1,0
102,2024-01-01,12,1,88,2,2,9.5,0.0,19.0,0,0
103,2024-01-01,14,28,298,3,1,42.5,0.0,42.5,0,0
103,2024-01-01,14,26,298,3,3,56.0,0.0,168.0,0,0
103,2024-01-01,14,20,298,3,1,19.8,0.0,19.8,1,0
104,2024-01-02,16,2,316,2,1,11.9,0.0,11.9,0,0
105,2024-01-02,16,12,187,4,1,10.9,0.0,10.9,0,0
105,2024-01-02,16,27,187,4,1,26.7,1.34,25.36,0,0
106,2024-01-02,13,6,44,2,1,33.5,0.0,33.5,1,0
106,2024-01-02,13,20,44,2,1,19.8,1.98,17.82,1,0
106,2024-01-02,13,45,44,2,1,34.5,3.45,31.05,0,0
107,2024-01-02,17,26,31,4,1,56.0,5.6,50.4,0,0
108,2024-01-02,16,10,184,2,1,42.0,4.2,37.8,1,0
109,2024-01-02,9,19,432,2,2,21.2,0.0,42.4,1,0
110,2024-01-02,10,28,310,1,2,42.5,0.0,85.0,0,0
111,2024-01-02,14,36,575,1,1,199.0,9.95,189.05,0,0
112,2024-01-02,19,10,557,2,2,42.0,0.0,84.0,1,0
112,2024-01-02,19,18,557,2,1,23.4,0.0,23.4,1,0
112,2024-01-02,19,15,557,2,2,96.0,19.2,172.8,1,0
113,2024-01-02,16,36,398,4,1,199.0,0.0,199.0,0,0
114,2024-01-02,8,2,406,1,1,11.9,0.0,11.9,0,0
114,2024-01-02,8,33,406,1,1,15.4,0.77,14.63,0,0
115,2024-01-02,11,24,336,1,1,22.5,0.0,22.5,0,0
115,2024-01-02,11,22,336,1,1,49.0,0.0,49.0,0,0
115,2024-01-02,11,44,336,1,2,18.9,0.0,37.8,0,0
116,2024-01-02,10,12,690,4,1,10.9,0.0,10.9,0,0
116,2024-01-02,10,44,690,4,1,18.9,1.89,17.01,0,0
117,2024-01-02,16,14,80,3,2,24.8,0.0,49.6,1,0
117,2024-01-02,16,31,80,3,1,21.0,0.0,21.0,0,0
117,2024-01-02,16,7,80,3,1,14.2,0.0,14.2,0,0
118,2024-01-02,13,40,543,1,1,35.2,0.0,35.2,1,0
119,2024-01-02,10,11,730,3,1,19.5,0.0,19.5,0,0
120,2024-01-02,13,18,414,4,1,23.4,0.0,23.4,1,0
121,2024-01-02,16,20,752,5,3,19.8,0.0,59.4,1,0
121,2024-01-02,16,12,752,5,1,10.9,0.0,10.9,0,0
121,2024-01-02,16,27,752,5,2,26.7,0.0,53.4,0,0
122,2024-01-02,12,43,247,2,1,8.2,0.0,8.2,0,0
123,2024-01-02,13,6,304,3,1,33.5,0.0,33.5,1,0
123,2024-01-02,13,40,304,3,1,35.2,0.0,35.2,1,0
124,2024-01-02,9,10,822,4,1,42.0,0.0,42.0,1,0
125,2024-01-02,13,34,619,5,2,11.2,1.12,21.28,0,0
125,2024-01-02,13,8,619,5,3,13.4,2.01,38.19,0,0
126,2024-01-02,10,26,567,2,1,56.0,0.0,56.0,0,0
127,2024-01-02,10,10,489,4,1,42.0,0.0,42.0,1,0
128,2024-01-02,16,10,815,1,1,42.0,0.0,42.0,1,0
128,2024-01-02,16,1,815,1,1,9.5,0.48,9.02,0,0
129,2024-01-02,10,23,756,3,1,34.0,0.0,34.0,0,0
130,2024-01-02,9,20,22,1,1,19.8,0.0,19.8,1,0
131,2024-01-02,12,16,107,5,1,68.0,0.0,68.0,0,0
131,2024-01-02,12,22,107,5,2,49.0,0.0,98.0,0,0
132,2024-01-02,15,37,439,5,1,30.6,0.0,30.6,1,0
132,2024-01-02,15,11,439,5,1,19.5,0.98,18.52,0,0
132,2024-01-02,15,6,439,5,1,33.5,0.0,33.5,1,0
133,2024-01-02,16,22,648,2,1,49.0,0.0,49.0,0,0
133,2024-01-02,16,32,648,2,1,23.8,1.19,22.61,0,0
134,2024-01-02,18,40,226,4,1,35.2,3.52,31.68,1,0
134,2024-01-02,18,17,226,4,2,29.6,0.0,59.2,1,0
134,2024-01-02,18,26,226,4,1,56.0,0.0,56.0,0,0
134,2024-01-02,18,45,226,4,1,34.5,0.0,34.5,0,0
135,2024-01-02,17,28,822,5,1,42.5,0.0,42.5,0,0
136,2024-01-02,11,39,594,4,1,16.8,0.0,16.8,1,0
137,2024-01-02,12,25,527,5,2,29.9,0.0,59.8,0,0
138,2024-01-02,9,25,803,1,1,29.9,1.5,28.4,0,0
138,2024-01-02,9,36,803,1,1,199.0,0.0,199.0,0,0
139,2024-01-02,17,44,588,1,1,18.9,1.89,17.01,0,0
140,2024-01-02,10,2,298,5,1,11.9,0.6,11.3,0,0
141,2024-01-02,19,8,619,1,1,13.4,0.0,13.4,0,0
142,2024-01-02,13,42,643,5,1,20.4,0.0,20.4,0,0
143,2024-01-02,11,32,730,1,2,23.8,2.38,45.22,0,0
143,2024-01-02,11,12,730,1,2,10.9,2.18,19.62,0,0
144,2024-01-02,12,11,734,1,1,19.5,0.0,19.5,0,0
144,2024-01-02,12,20,734,1,1,19.8,0.0,19.8,1,0
144,2024-01-02,12,14,734,1,1,24.8,0.0,24.8,1,0
145,2024-01-02,16,19,468,3,1,21.2,0.0,21.2,1,0
145,2024-01-02,16,27,468,3,3,26.7,0.0,80.1,0,0
146,2024-01-02,15,11,648,1,3,19.5,0.0,58.5,0,0
146,2024-01-02,15,1,648,1,1,9.5,0.48,9.02,0,0
147,2024-01-02,16,14,384,4,1,24.8,0.0,24.8,1,1
147,2024-01-02,16,11,384,4,1,19.5,0.0,19.5,0,0
147,2024-01-02,16,12,384,4,1,10.9,0.0,10.9,0,0
147,2024-01-02,16,5,384,4,1,39.9,0.0,39.9,1,0
148,2024-01-02,9,1,745,1,1,9.5,0.0,9.5,0,0
149,2024-01-02,11,6,448,1,1,33.5,0.0,33.5,1,0
149,2024-01-02,11,17,448,1,1,29.6,0.0,29.6,1,1
149,2024-01-02,11,39,448,1,2,16.8,0.0,33.6,1,0
149,2024-01-02,11,11,448,1,1,19.5,0.0,19.5,0,0
150,2024-01-02,16,36,65,5,1,199.0,0.0,199.0,0,0
150,2024-01-02,16,12,65,5,2,10.9,0.0,21.8,0,0
151,2024-01-02,8,27,712,1,1,26.7,0.0,26.7,0,0
152,2024-01-02,9,28,30,5,3,42.5,0.0,127.5,0,0
153,2024-01-02,16,26,459,3,3,56.0,0.0,168.0,0,0
154,2024-01-02,12,39,294,5,1,16.8,0.0,16.8,1,0
155,2024-01-02,13,13,182,4,1,16.3,0.0,16.3,0,0
156,2024-01-02,16,2,136,2,2,11.9,0.0,23.8,0,0
156,2024-01-02,16,20,136,2,1,19.8,0.0,19.8,1,0
156,2024-01-02,16,28,136,2,1,42.5,0.0,42.5,0,0
157,2024-01-02,11,21,803,5,1,12.6,0.0,12.6,0,0
157,2024-01-02,11,19,803,5,2,21.2,0.0,42.4,1,0
158,2024-01-02,11,11,121,4,3,19.5,0.0,58.5,0,0
158,2024-01-02,11,27,121,4,1,26.7,0.0,26.7,0,0
159,2024-01-02,13,26,439,1,1,56.0,0.0,56.0,0,0
159,2024-01-02,13,7,439,1,1,14.2,0.0,14.2,0,0
160,2024-01-02,15,27,729,4,1,26.7,0.0,26.7,0,0
160,2024-01-02,15,19,729,4,1,21.2,0.0,21.2,1,0
160,2024-01-02,15,17,729,4,1,29.6,1.48,28.12,1,0
161,2024-01-02,17,5,476,4,1,39.9,0.0,39.9,1,0
161,2024-01-02,17,44,476,4,1,18.9,0.0,18.9,0,0
161,2024-01-02,17,1,476,4,1,9.5,0.95,8.55,0,0
162,2024-01-02,9,20,90,3,1,19.8,0.99,18.81,1,0
162,2024-01-02,9,30,90,3,1,39.0,3.9,35.1,0,0
163,2024-01-02,17,3,760,2,1,8.4,0.0,8.4,0,0
164,2024-01-02,16,21,281,3,1,12.6,0.0,12.6,0,0
164,2024-01-02,16,37,281,3,1,30.6,0.0,30.6,1,0
164,2024-01-02,16,16,281,3,1,68.0,0.0,68.0,0,0
165,2024-01-02,14,16,314,4,1,68.0,6.8,61.2,0,0
166,2024-01-02,13,39,398,4,1,16.8,0.0,16.8,1,0
166,2024-01-02,13,16,398,4,1,68.0,0.0,68.0,0,0
167,2024-01-02,15,24,488,4,1,22.5,0.0,22.5,0,0
168,2024-01-02,16,35,438,2,1,47.0,0.0,47.0,0,0
168,2024-01-02,16,23,438,2,2,34.0,0.0,68.0,0,0
168,2024-01-02,16,43,438,2,1,8.2,0.0,8.2,0,0
169,2024-01-02,11,10,297,1,1,42.0,4.2,37.8,1,0
169,2024-01-02,11,27,297,1,1,26.7,0.0,26.7,0,0
170,2024-01-02,13,1,33,3,1,9.5,0.0,9.5,0,0
170,2024-01-02,13,39,33,3,1,16.8,0.0,16.8,1,0
171,2024-01-02,19,27,341,1,3,26.7,0.0,80.1,0,0
172,2024-01-02,16,26,841,4,1,56.0,2.8,53.2,0,0
173,2024-01-02,10,31,811,5,1,21.0,1.05,19.95,0,0
174,2024-01-02,11,5,213,2,1,39.9,0.0,39.9,1,0
175,2024-01-02,11,3,463,2,1,8.4,0.0,8.4,0,0
175,2024-01-02,11,27,463,2,1,26.7,0.0,26.7,0,0
176,2024-01-02,14,22,388,2,1,49.0,4.9,44.1,0,0
177,2024-01-02,9,36,65,3,2,199.0,0.0,398.0,0,0
178,2024-01-03,11,13,547,3,1,16.3,1.63,14.67,0,0
178,2024-01-03,11,4,547,3,1,27.0,0.0,27.0,1,1
179,2024-01-03,15,30,806,2,1,39.0,0.0,39.0,0,0
179,2024-01-03,15,13,806,2,1,16.3,0.0,16.3,0,0
180,2024-01-03,19,28,325,4,1,42.5,0.0,42.5,0,0
180,2024-01-03,19,33,325,4,1,15.4,0.0,15.4,0,0
181,2024-01-03,11,18,532,4,1,23.4,2.34,21.06,1,0
181,2024-01-03,11,22,532,4,3,49.0,14.7,132.3,0,0
181,2024-01-03,11,14,532,4,1,24.8,0.0,24.8,1,0
182,2024-01-03,16,4,619,5,1,27.0,0.0,27.0,1,0
182,2024-01-03,16,12,619,5,1,10.9,0.0,10.9,0,0
183,2024-01-03,17,41,636,4,3,52.0,15.6,140.4,0,0
183,2024-01-03,17,26,636,4,1,56.0,0.0,56.0,0,0
184,2024-01-03,11,15,482,2,1,96.0,9.6,86.4,1,0
184,2024-01-03,11,9,482,2,1,45.0,4.5,40.5,1,0
184,2024-01-03,11,25,482,2,1,29.9,0.0,29.9,0,0
185,2024-01-03,11,37,808,3,1,30.6,0.0,30.6,1,0
186,2024-01-03,16,35,819,5,1,47.0,0.0,47.0,0,0
187,2024-01-03,15,6,58,1,1,33.5,0.0,33.5,1,0
188,2024-01-03,17,40,729,4,1,35.2,0.0,35.2,1,0
189,2024-01-03,15,37,464,5,1,30.6,0.0,30.6,1,1
190,2024-01-03,14,32,73,5,1,23.8,0.0,23.8,0,0
191,2024-01-03,12,45,31,1,1,34.5,0.0,34.5,0,0
191,2024-01-03,12,44,31,1,1,18.9,0.0,18.9,0,0
192,2024-01-03,15,1,229,3,1,9.5,0.95,8.55,0,0
192,2024-01-03,15,11,229,3,1,19.5,1.95,17.55,0,0
192,2024-01-03,15,10,229,3,2,42.0,0.0,84.0,1,0
193,2024-01-03,10,44,80,1,1,18.9,0.0,18.9,0,0
193,2024-01-03,10,16,80,1,1,68.0,0.0,68.0,0,0
193,2024-01-03,10,13,80,1,1,16.3,1.63,14.67,0,0
193,2024-01-03,10,22,80,1,1,49.0,0.0,49.0,0,0
194,2024-01-03,10,1,521,2,1,9.5,0.48,9.02,0,0
195,2024-01-03,17,31,632,5,1,21.0,1.05,19.95,0,0
196,2024-01-03,11,11,465,4,1,19.5,0.0,19.5,0,0
196,2024-01-03,11,45,465,4,2,34.5,0.0,69.0,0,0
197,2024-01-03,17,34,197,3,1,11.2,0.56,10.64,0,0
197,2024-01-03,17,12,197,3,1,10.9,0.0,10.9,0,0
198,2024-01-03,17,14,604,2,1,24.8,1.24,23.56,1,0
198,2024-01-03,17,11,604,2,1,19.5,1.95,17.55,0,0
199,2024-01-03,9,6,576,3,3,33.5,0.0,100.5,1,0
200,2024-01-03,14,30,704,5,1,39.0,0.0,39.0,0,0
201,2024-01-03,16,40,341,1,1,35.2,0.0,35.2,1,0
201,2024-01-03,16,12,341,1,1,10.9,0.0,10.9,0,0
201,2024-01-03,16,45,341,1,1,34.5,0.0,34.5,0,0
201,2024-01-03,16,13,341,1,1,16.3,0.0,16.3,0,0
202,2024-01-03,10,18,213,4,1,23.4,0.0,23.4,1,0
203,2024-01-03,18,33,636,2,1,15.4,0.0,15.4,0,0
203,2024-01-03,18,26,636,2,3,56.0,0.0,168.0,0,0
204,2024-01-03,17,10,646,4,1,42.0,0.0,42.0,1,0
204,2024-01-03,17,8,646,4,2,13.4,0.0,26.8,0,0
204,2024-01-03,17,25,646,4,1,29.9,0.0,29.9,0,0
204,2024-01-03,17,19,646,4,1,21.2,0.0,21.2,1,0
205,2024-01-03,14,33,21,3,1,15.4,0.77,14.63,0,0
205,2024-01-03,14,28,21,3,1,42.5,0.0,42.5,0,0
206,2024-01-03,18,30,288,1,1,39.0,1.95,37.05,0,0
207,2024-01-03,11,23,288,1,1,34.0,0.0,34.0,0,0
207,2024-01-03,11,12,288,1,2,10.9,0.0,21.8,0,0
208,2024-01-03,10,16,757,4,1,68.0,0.0,68.0,0,0
208,2024-01-03,10,14,757,4,1,24.8,0.0,24.8,1,0
209,2024-01-03,9,36,166,3,1,199.0,0.0,199.0,0,0
209,2024-01-03,9,28,166,3,1,42.5,0.0,42.5,0,0
210,2024-01-03,16,10,248,1,1,42.0,2.1,39.9,1,0
211,2024-01-03,9,45,31,2,1,34.5,3.45,31.05,0,0
212,2024-01-03,12,27,546,4,1,26.7,0.0,26.7,0,0
213,2024-01-03,14,20,257,4,1,19.8,0.0,19.8,1,0
213,2024-01-03,14,45,257,4,1,34.5,0.0,34.5,0,0
213,2024-01-03,14,40,257,4,2,35.2,0.0,70.4,1,0
214,2024-01-03,9,3,394,5,2,8.4,0.0,16.8,0,0
214,2024-01-03,9,41,394,5,1,52.0,0.0,52.0,0,0
215,2024-01-03,9,15,288,3,1,96.0,4.8,91.2,1,0
215,2024-01-03,9,39,288,3,1,16.8,0.0,16.8,1,0
215,2024-01-03,9,42,288,3,1,20.4,0.0,20.4,0,0
216,2024-01-03,16,43,80,1,2,8.2,0.0,16.4,0,0
217,2024-01-03,9,12,510,1,2,10.9,2.18,19.62,0,0
218,2024-01-03,19,27,608,1,2,26.7,0.0,53.4,0,0
218,2024-01-03,19,20,608,1,1,19.8,0.0,19.8,1,0
218,2024-01-03,19,28,608,1,2,42.5,8.5,76.5,0,0
219,2024-01-03,12,26,334,2,1,56.0,5.6,50.4,0,0
220,2024-01-03,19,2,402,2,1,11.9,0.0,11.9,0,0
